time,"I(IIN_A)","I(IIN_B)","I(ICLK1)","I(ICLK2)","I(LOUT)"
1.887500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.887750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.888000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.888250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.888500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.888750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.889000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.889250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.889500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.889750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.890000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.890250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.890500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.890750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.891000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.891250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.891500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.891750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.892000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.892250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.892500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.892750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.893000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.893250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.893500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.893750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.894000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.894250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
