time,"I(IIN_A)","I(IIN_B)","I(ICLK1)","I(ICLK2)","I(ICLK3)","I(ICLK4)","I(LOUT)"
3.100000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100073e-06
3.125000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100142e-06
3.150000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100338e-06
3.175000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100589e-06
3.200000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100811e-06
3.225000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100939e-06
3.250000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100940e-06
3.275000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100826e-06
3.300000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100644e-06
3.325000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100455e-06
3.350000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100321e-06
3.375000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100276e-06
3.400000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100328e-06
3.425000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100449e-06
3.450000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100597e-06
3.475000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100723e-06
3.500000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100790e-06
3.525000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100782e-06
3.550000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100711e-06
3.575000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100603e-06
3.600000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100496e-06
3.625000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100422e-06
3.650000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100402e-06
3.675000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100436e-06
3.700000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100507e-06
3.725000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100592e-06
3.750000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100661e-06
3.775000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100696e-06
3.800000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100689e-06
3.825000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100647e-06
3.850000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100586e-06
